id|codigo|nome|max(ects)|uo_id|ac_id
0|48109|ESTRUTURAS ISOSTÁTICAS|8|0|16
0|81431|MARKETING DE SERVIÇOS E B2B|6|0|16
0|40924|DEMOGRAFIA, POLITICAS PÚBLICAS E EPIDEMIOLOGIA DO ENVELHECIMENTO|6|0|16
0|41945|SINAIS E SISTEMAS ELETRÓNICOS|6|0|16
0|45404|VIAS DE COMUNICAÇÃO|6|0|16
0|46857|ÁRABE III|6|0|16
0|47171|MECÂNICA E OSCILAÇÕES|6|0|16
0|90295|INTERAÇÃO HUMANO-COMPUTADOR|6|0|16
0|40495|PROCESSOS FISICO-QUÍMICOS E BIOLÓGICOS|6|0|16
0|40960|ORGANIZAÇÃO DE RECURSOS E SERVIÇOS DE SAÚDE DO TRABALHO|4|0|16
0|42453|DIREITOS DE AUTOR EM MULTIMÉDIA|4|0|16
0|44646|FRANCÊS V|6|0|16
0|47042|BIOQUÍMICA II|6|0|16
0|47450|ALEMÃO - PRÁTICAS DE TRADUÇÃO I|6|0|16
0|47527|DESENVOLVIMENTO E PLANEAMENTO INTEGRADO DE DESTINOS TURÍSTICOS|6|0|16
0|47531|DESIGN E TECNOLOGIA|6|0|16
0|47567|ESPAÇO PÚBLICO URBANO|6|0|16
0|84326|DESENVOLVIMENTO DE CONTEÚDOS MULTIMÉDIA I|6|0|16
0|90166|SISTEMAS DE INFORMAÇÃO GEOGRÁFICA|6|0|16
0|90260|CONCEÇÃO E FABRICO ASSISTIDOS POR COMPUTADOR|2|0|16
0|90380|CONTABILIDADE FINANCEIRA|6|0|16
0|40532|COMPLEMENTOS SOBRE LINGUAGENS DE PROGRAMAÇÃO|6|0|16
0|41798|INVESTIGAÇÃO EM ENGENHARIA E GESTÃO INDUSTRIAL|8|0|16
0|41974|LABORATÓRIOS DE PROPRIEDADES ELÉTRICAS, MAGNÉTICAS E ÓTICAS DOS MATERIAIS|6|0|16
0|42791|CÁLCULO III|6|0|16
0|47623|HIDROGEOLOGIA|6|0|16
0|48197|SEMINÁRIO|8|0|16
0|90101|INGLÊS TÉCNICO|4|0|16
0|90270|COMUNICAÇÃO TÉCNICA|6|0|16
0|18062|INTRODUÇÃO AO PROJETO DE MOLDES|6|0|16
0|18131|ELEMENTOS DE CONTABILIDADE GERAL|6|0|16
0|40558|CONTEXTOS DE APLICAÇÃO EM PSICOLOGIA I|6|0|16
0|41254|ENGENHARIA DE TECIDOS E ENTREGA TERAPÊUTICA|6|0|16
0|42029|PROJETO DE REABILITAÇÃO DO PATRIMÓNIO 1|6|0|16
0|42451|LABORATÓRIO MULTIMÉDIA 5|12|0|16
0|42481|MULTIMÉDIA E ARQUITECTURAS COGNITIVAS|8|0|16
0|44202|INTRODUÇÃO AOS ESTUDOS LITERÁRIOS|6|0|16
0|44748|LÍNGUA LATINA IV|6|0|16
0|45602|ECONOMIA DA POLÍTICA E DO DIREITO|6|0|16
0|46866|ESPANHOL VI-TÉCNICAS DE EXPRESSÃO|6|0|16
0|86124|INFORMÁTICA ORGANIZACIONAL|6|0|16
0|40664|TEORIAS DA COMUNICAÇÃO|4|0|16
0|41555|ENGENHARIA DE CÉLULAS E TECIDOS|6|0|16
0|44439|ALEMÃO V|6|0|16
0|47613|GESTÃO DA INOVAÇÃO E DA TECNOLOGIA|6|0|16
0|48840|RISCOS ATMOSFÉRICOS E MARINHOS|6|0|16
0|90275|COMPLEMENTOS DE ESTATÍSTICA|6|0|16
0|90385|PROJETO EM GESTÃO DA QUALIDADE NOS SERVIÇOS PÚBLICOS|6|0|16
0|17555|SISTEMAS DE INFORMAÇÃO EM TURISMO|6|0|16
0|18007|INTRODUÇÃO À PROGRAMAÇÃO|6|0|16
0|40670|TECNOLOGIAS QUÂNTICAS|6|0|16
0|40894|BIOEMPREENDEDORISMO|6|0|16
0|41673|DESIGN ESTRATÉGICO I|4|0|16
0|42147|CULTURA PARTICIPATIVA|4|0|16
0|44409|CULTURA ALEMÃ II|6|0|16
0|46846|CHINÊS IV|6|0|16
0|87310|PSICOSSOCIOLOGIA DAS ORGANIZAÇÕES|6|0|16
0|18083|MODELAÇÃO DE SISTEMAS E ENGENHARIA DE SOFTWARE|6|0|16
0|18095|ORGANIZAÇÃO E GESTÃO DA MANUTENÇÃO|6|0|16
0|40020|METODOLOGIA DE INVESTIGAÇÃO EM MARKETING E ESTRATÉGIA|8|0|16
0|41345|EPIDEMIOLOGIA E MÉTODOS EM INVESTIGAÇÃO CLÍNICA|6|0|16
0|41367|SISTEMAS E COMPORTAMENTOS ELEITORAIS|6|0|16
0|45205|CONCEITOS DE MATEMÁTICA I|8|0|16
0|45600|SEMINÁRIO DE INVESTIGAÇÃO EM MULTIMÉDIA EM EDUCAÇÃO (2º ANO)|8|0|16
0|45702|CONTABILIDADE GERAL|6|0|16
0|47095|ENGENHARIA TÉRMICA|6|0|16
0|47875|ANÁLISE E GESTÃO DE RISCO|6|0|16
0|47891|LITERATURA E FORMAÇÃO DE LEITORES|8|0|16
0|81526|TÓPICOS AVANÇADOS DE AUDITORIA|6|0|16
0|41655|TEORIAS E HISTÓRIA DO DESIGN II|4|0|16
0|46670|DIDÁCTICA E DESENVOLVIMENTO CURRICULAR DO PORTUGUÊS|6|0|16
0|47259|TÉCNICAS ESTATÍSTICAS|6|0|16
0|47741|POLÍTICAS DE REABILITAÇÃO URBANA|6|0|16
0|47997|VALORIZAÇÃO SIMBÓLICA DOS ARTEFACTOS|6|0|16
0|81450|INFORMÁTICA ORGANIZACIONAL|6|0|16
0|18158|MÁQUINAS ELÉTRICAS E AUTOMATISMOS|6|0|16
0|40963|INVESTIGAÇÃO EM ENFERMAGEM DO TRABALHO/SAÚDE OCUPACIONAL|6|0|16
0|41199|FONÉTICA EXPERIMENTAL II|8|0|16
0|41671|DESENHO E CONHECIMENTO I|6|0|16
0|41878|PROGRAMAÇÃO DE SISTEMAS ROBÓTICOS|6|0|16
0|42055|PROJETO EM DESENVOLVIMENTO DE PRODUTO|9|0|16
0|47077|DINÂMICA DA ATMOSFERA E DO OCEANO|6|0|16
0|47409|LABORATÓRIOS DE BIOLOGIA MOLECULAR E CELULAR|6|0|16
0|81230|COMPLEMENTOS DE FISCALIDADE|6|0|16
0|81416|TÉCNICAS DE APOIO À DECISÃO|8|0|16
0|82150|DIREÇÃO COMERCIAL E NEGOCIAÇÃO|6|0|16
0|83410|DIREITO TRIBUTÁRIO|6|0|16
0|90060|ENGENHARIA DE SOFTWARE|6|0|16
0|90381|DIREITO DA CONTRATAÇÃO PÚBLICA|6|0|16
0|40546|AVALIAÇÃO NEUROPSICOLÓGICA|6|0|16
0|42139|DESIGN DE COMUNICAÇÃO WEB|6|0|16
0|45651|MULTIMÉDIA E ACESSIBILIDADE|6|0|16
0|47021|ARQUITECTURA|6|0|16
0|47478|BIOFÍSICA HUMANA|6|0|16
0|99263|INGLÊS - LÍNGUA E COMUNICAÇÃO EMPRESARIAL|6|0|16
0|18160|PNEUMÁTICA E HIDRÁULICA INDUSTRIAL|6|0|16
0|40498|ECOLOGIA INDUSTRIAL|6|0|16
0|41362|DESENVOLVIMENTO E COOPERAÇÃO INTERNACIONAL|6|0|16
0|47855|FINANÇAS EMPRESARIAIS|6|0|16
0|81461|ESTATÍSTICA|6|0|16
0|81533|GOVERNO DAS SOCIEDADES|6|0|16
0|90326|PROJETO TEMÁTICO EM PROGRAMAÇÃO APLICADA|6|0|16
0|99262|COMUNICAÇÃO EMPRESARIAL II|6|0|16
0|40656|POLÍTICAS EDUCATIVAS|8|0|16
0|41419|ANÁLISE ECONOMÉTRICA|6|0|16
0|41864|MÓDULOS ESPECIALIZADOS DE MATEMÁTICA EDUCACIONAL|12|0|16
0|41931|INTRODUÇÃO À ENGENHARIA E GESTÃO INDUSTRIAL|6|0|16
0|42032|EFICIÊNCIA E COMPATIBILIZAÇÃO ENERGÉTICA E HÍDRICA NA REABILITAÇÃO|6|0|16
0|42035|GESTÃO, TURISMO, IMOBILIÁRIO E PATRIMÓNIO|6|0|16
0|42159|BIOPROCESSAMENTO DE RECURSOS RENOVÁVEIS|6|0|16
0|42754|ÁLGEBRA|6|0|16
0|44510|LINGUÍSTICA PORTUGUESA II|6|0|16
0|47911|DIDÁCTICA E TECNOLOGIA DA MATEMÁTICA|4|0|16
0|90049|ELECTRÓNICA INDUSTRIAL|3|0|16
0|90397|SISTEMAS OPERATIVOS|6|0|16
0|90398|TECNOLOGIAS DE REDES DE COMPUTADORES|6|0|16
0|40634|ECONOMIA EXPERIMENTAL|6|0|16
0|41344|FUNDAMENTOS DE INVESTIGAÇÃO CLÍNICA|6|0|16
0|42440|LABORATÓRIO MULTIMÉDIA 1|10|0|16
0|44355|INGLÊS V|6|0|16
0|47262|TECNOLOGIAS APLICADAS À GESTÃO DE INFORMAÇÃO|6|0|16
0|47607|GESTÃO DA CADEIA DE ABASTECIMENTO|6|0|16
0|90312|MÉTODOS QUANTITATIVOS APLICADOS À GESTÃO|6|0|16
0|17558|PROJETO DE EMPREENDEDORISMO E INOVAÇÃO EM TURISMO|6|0|16
0|40262|DOR E FUNCIONALIDADE|6|0|16
0|41650|OCEANOGRAFIA QUÍMICA|6|0|16
0|44310|LITERATURA INGLESA I|6|0|16
0|45115|LINGUÍSTICA PORTUGUESA|8|0|16
0|45657|GESTÃO DE SERVIÇOS PÚBLICOS|6|0|16
0|46526|COMANDO NUMÉRICO POR COMPUTADOR|6|0|16
0|47790|REPRESENTAÇÃO DO CONHECIMENTO|6|0|16
0|84322|DESENHO DA EXPERIÊNCIA ONLINE|6|0|16
0|90026|CÁLCULO FINANCEIRO|6|0|16
0|17549|GESTÃO DE EQUIPAS E LIDERANÇA|6|0|16
0|40834|REDES E INFORMÁTICA  INDUSTRIAL|6|0|16
0|41332|ENSINO CLÍNICO I|6|0|16
0|41797|TÓPICOS AVANÇADOS EM ENGENHARIA E GESTÃO INDUSTRIAL|16|0|16
0|45413|MAMÍFEROS DE PORTUGAL|6|0|16
0|81490|DESENVOLVIMENTOS DE CONTEÚDO MULTIMÉDIA II|6|0|16
0|90285|DESENHO|6|0|16
0|18137|SISTEMAS TRIFÁSICOS|6|0|16
0|41417|TEORIA MICROECONÓMICA|6|0|16
0|41796|PSICOLOGIA E CIBERSEGURANÇA|6|0|16
0|42013|PLANEAMENTO E DESENVOLVIMENTO EM TURISMO|6|0|16
0|42750|ANÁLISE NUMÉRICA|8|0|16
0|43390|ESTUDOS DE FARMACOLOGIA HUMANA|6|0|16
0|47001|ADMINISTRAÇÃO PÚBLICA PORTUGUESA - FUNDAMENTOS E MODELOS|6|0|16
